"Jahr","Alter","Geschlecht","value"
"1860","49 Jahre","Mann",12844
"1861","49 Jahre","Mann",12821
"1862","49 Jahre","Mann",12828
"1863","49 Jahre","Mann",12835
"1864","49 Jahre","Mann",12857
"1865","49 Jahre","Mann",12893
"1866","49 Jahre","Mann",12946
"1867","49 Jahre","Mann",13017
"1868","49 Jahre","Mann",13207
"1869","49 Jahre","Mann",13416
"1870","49 Jahre","Mann",13646
"1871","49 Jahre","Mann",13814
"1872","49 Jahre","Mann",14020
"1873","49 Jahre","Mann",14065
"1874","49 Jahre","Mann",14128
"1875","49 Jahre","Mann",14209
"1876","49 Jahre","Mann",14311
"1877","49 Jahre","Mann",14436
"1878","49 Jahre","Mann",14403
"1879","49 Jahre","Mann",14394
"1880","49 Jahre","Mann",14409
"1881","49 Jahre","Mann",14370
"1882","49 Jahre","Mann",14342
"1883","49 Jahre","Mann",14427
"1884","49 Jahre","Mann",14534
"1885","49 Jahre","Mann",14664
"1886","49 Jahre","Mann",14704
"1887","49 Jahre","Mann",14760
"1888","49 Jahre","Mann",14811
"1889","49 Jahre","Mann",14969
"1890","49 Jahre","Mann",15134
"1891","49 Jahre","Mann",15088
"1892","49 Jahre","Mann",15061
"1893","49 Jahre","Mann",14943
"1894","49 Jahre","Mann",14856
"1895","49 Jahre","Mann",14730
"1896","49 Jahre","Mann",14645
"1897","49 Jahre","Mann",14582
"1898","49 Jahre","Mann",14575
"1899","49 Jahre","Mann",14576
"1900","49 Jahre","Mann",14579
"1901","49 Jahre","Mann",14619
"1902","49 Jahre","Mann",14646
"1903","49 Jahre","Mann",15052
"1904","49 Jahre","Mann",15452
"1905","49 Jahre","Mann",15916
"1906","49 Jahre","Mann",16347
"1907","49 Jahre","Mann",16914
"1908","49 Jahre","Mann",17268
"1909","49 Jahre","Mann",17588
"1910","49 Jahre","Mann",17995
"1911","49 Jahre","Mann",18383
"1912","49 Jahre","Mann",18787
"1913","49 Jahre","Mann",18998
"1914","49 Jahre","Mann",19111
"1915","49 Jahre","Mann",19282
"1916","49 Jahre","Mann",19531
"1917","49 Jahre","Mann",19689
"1918","49 Jahre","Mann",19966
"1919","49 Jahre","Mann",20318
"1920","49 Jahre","Mann",21230
"1921","49 Jahre","Mann",21734
"1922","49 Jahre","Mann",21478
"1923","49 Jahre","Mann",21663
"1924","49 Jahre","Mann",22460
"1925","49 Jahre","Mann",24757
"1926","49 Jahre","Mann",23986
"1927","49 Jahre","Mann",23137
"1928","49 Jahre","Mann",22402
"1929","49 Jahre","Mann",21566
"1930","49 Jahre","Mann",24333
"1931","49 Jahre","Mann",23371
"1932","49 Jahre","Mann",23004
"1933","49 Jahre","Mann",22657
"1934","49 Jahre","Mann",22200
"1935","49 Jahre","Mann",22715
"1936","49 Jahre","Mann",23636
"1937","49 Jahre","Mann",23415
"1938","49 Jahre","Mann",23148
"1939","49 Jahre","Mann",22179
"1940","49 Jahre","Mann",23477
"1941","49 Jahre","Mann",25156
"1942","49 Jahre","Mann",25384
"1943","49 Jahre","Mann",25098
"1944","49 Jahre","Mann",25680
"1945","49 Jahre","Mann",27021
"1946","49 Jahre","Mann",27556
"1947","49 Jahre","Mann",27626
"1948","49 Jahre","Mann",29376
"1949","49 Jahre","Mann",29514
"1950","49 Jahre","Mann",30870
"1951","49 Jahre","Mann",31651
"1952","49 Jahre","Mann",31161
"1953","49 Jahre","Mann",31934
"1954","49 Jahre","Mann",32522
"1955","49 Jahre","Mann",33218
"1956","49 Jahre","Mann",33328
"1957","49 Jahre","Mann",34272
"1958","49 Jahre","Mann",33750
"1959","49 Jahre","Mann",34389
"1960","49 Jahre","Mann",32988
"1961","49 Jahre","Mann",34403
"1962","49 Jahre","Mann",33856
"1963","49 Jahre","Mann",33878
"1964","49 Jahre","Mann",30623
"1965","49 Jahre","Mann",30156
"1966","49 Jahre","Mann",28980
"1967","49 Jahre","Mann",29809
"1968","49 Jahre","Mann",30617
"1969","49 Jahre","Mann",36626
"1970","49 Jahre","Mann",36641
"1971","49 Jahre","Mann",35873
"1972","49 Jahre","Mann",36158
"1973","49 Jahre","Mann",35559
"1974","49 Jahre","Mann",35894
"1975","49 Jahre","Mann",36017
"1976","49 Jahre","Mann",35752
"1977","49 Jahre","Mann",35899
"1978","49 Jahre","Mann",36557
"1979","49 Jahre","Mann",37733
"1980","49 Jahre","Mann",37443
"1981","49 Jahre","Mann",38089
"1982","49 Jahre","Mann",38308
"1983","49 Jahre","Mann",39265
"1984","49 Jahre","Mann",39734
"1985","49 Jahre","Mann",39569
"1986","49 Jahre","Mann",39173
"1987","49 Jahre","Mann",39856
"1988","49 Jahre","Mann",40753
"1989","49 Jahre","Mann",41522
"1990","49 Jahre","Mann",43949
"1991","49 Jahre","Mann",47014
"1992","49 Jahre","Mann",48342
"1993","49 Jahre","Mann",49615
"1994","49 Jahre","Mann",50342
"1995","49 Jahre","Mann",51244
"1996","49 Jahre","Mann",50791
"1997","49 Jahre","Mann",50724
"1998","49 Jahre","Mann",49836
"1999","49 Jahre","Mann",50358
"2000","49 Jahre","Mann",48265
"2001","49 Jahre","Mann",49819
"2002","49 Jahre","Mann",49577
"2003","49 Jahre","Mann",51027
"2004","49 Jahre","Mann",52569
"2005","49 Jahre","Mann",54721
"2006","49 Jahre","Mann",55523
"2007","49 Jahre","Mann",56730
"2008","49 Jahre","Mann",58634
"2009","49 Jahre","Mann",60392
"2010","49 Jahre","Mann",62096
"2011","49 Jahre","Mann",64501
"2012","49 Jahre","Mann",67181
"2013","49 Jahre","Mann",69624
"2014","49 Jahre","Mann",68911
"2015","49 Jahre","Mann",68563
"2016","49 Jahre","Mann",67031
"2017","49 Jahre","Mann",66238
"2018","49 Jahre","Mann",65019
"2019","49 Jahre","Mann",63528
"2020","49 Jahre","Mann",62930
"2021","49 Jahre","Mann",61647
"2022","49 Jahre","Mann",59974
"1860","50 Jahre","Mann",12594
"1861","50 Jahre","Mann",12555
"1862","50 Jahre","Mann",12544
"1863","50 Jahre","Mann",12563
"1864","50 Jahre","Mann",12574
"1865","50 Jahre","Mann",12600
"1866","50 Jahre","Mann",12641
"1867","50 Jahre","Mann",12698
"1868","50 Jahre","Mann",12774
"1869","50 Jahre","Mann",12966
"1870","50 Jahre","Mann",13178
"1871","50 Jahre","Mann",13320
"1872","50 Jahre","Mann",13497
"1873","50 Jahre","Mann",13714
"1874","50 Jahre","Mann",13763
"1875","50 Jahre","Mann",13829
"1876","50 Jahre","Mann",13916
"1877","50 Jahre","Mann",14023
"1878","50 Jahre","Mann",14153
"1879","50 Jahre","Mann",14129
"1880","50 Jahre","Mann",14130
"1881","50 Jahre","Mann",14078
"1882","50 Jahre","Mann",14032
"1883","50 Jahre","Mann",13985
"1884","50 Jahre","Mann",14082
"1885","50 Jahre","Mann",14182
"1886","50 Jahre","Mann",14308
"1887","50 Jahre","Mann",14337
"1888","50 Jahre","Mann",14384
"1889","50 Jahre","Mann",14530
"1890","50 Jahre","Mann",14681
"1891","50 Jahre","Mann",14857
"1892","50 Jahre","Mann",14832
"1893","50 Jahre","Mann",14865
"1894","50 Jahre","Mann",14707
"1895","50 Jahre","Mann",14602
"1896","50 Jahre","Mann",14495
"1897","50 Jahre","Mann",14409
"1898","50 Jahre","Mann",14346
"1899","50 Jahre","Mann",14329
"1900","50 Jahre","Mann",14319
"1901","50 Jahre","Mann",14294
"1902","50 Jahre","Mann",14350
"1903","50 Jahre","Mann",14407
"1904","50 Jahre","Mann",14816
"1905","50 Jahre","Mann",15200
"1906","50 Jahre","Mann",15646
"1907","50 Jahre","Mann",16076
"1908","50 Jahre","Mann",16635
"1909","50 Jahre","Mann",16977
"1910","50 Jahre","Mann",17322
"1911","50 Jahre","Mann",17667
"1912","50 Jahre","Mann",18068
"1913","50 Jahre","Mann",18458
"1914","50 Jahre","Mann",18688
"1915","50 Jahre","Mann",18783
"1916","50 Jahre","Mann",18948
"1917","50 Jahre","Mann",19183
"1918","50 Jahre","Mann",19312
"1919","50 Jahre","Mann",19653
"1920","50 Jahre","Mann",19918
"1921","50 Jahre","Mann",20970
"1922","50 Jahre","Mann",21435
"1923","50 Jahre","Mann",21158
"1924","50 Jahre","Mann",21349
"1925","50 Jahre","Mann",22066
"1926","50 Jahre","Mann",24451
"1927","50 Jahre","Mann",23658
"1928","50 Jahre","Mann",22801
"1929","50 Jahre","Mann",22032
"1930","50 Jahre","Mann",21202
"1931","50 Jahre","Mann",23808
"1932","50 Jahre","Mann",23094
"1933","50 Jahre","Mann",22695
"1934","50 Jahre","Mann",22425
"1935","50 Jahre","Mann",21950
"1936","50 Jahre","Mann",22346
"1937","50 Jahre","Mann",23418
"1938","50 Jahre","Mann",23208
"1939","50 Jahre","Mann",22934
"1940","50 Jahre","Mann",21928
"1941","50 Jahre","Mann",23134
"1942","50 Jahre","Mann",24722
"1943","50 Jahre","Mann",25040
"1944","50 Jahre","Mann",24901
"1945","50 Jahre","Mann",25572
"1946","50 Jahre","Mann",26906
"1947","50 Jahre","Mann",27409
"1948","50 Jahre","Mann",27396
"1949","50 Jahre","Mann",29244
"1950","50 Jahre","Mann",29323
"1951","50 Jahre","Mann",30689
"1952","50 Jahre","Mann",31521
"1953","50 Jahre","Mann",31087
"1954","50 Jahre","Mann",31920
"1955","50 Jahre","Mann",32503
"1956","50 Jahre","Mann",33109
"1957","50 Jahre","Mann",33200
"1958","50 Jahre","Mann",34242
"1959","50 Jahre","Mann",33726
"1960","50 Jahre","Mann",34564
"1961","50 Jahre","Mann",32824
"1962","50 Jahre","Mann",34225
"1963","50 Jahre","Mann",33707
"1964","50 Jahre","Mann",33723
"1965","50 Jahre","Mann",30468
"1966","50 Jahre","Mann",30010
"1967","50 Jahre","Mann",28913
"1968","50 Jahre","Mann",29698
"1969","50 Jahre","Mann",30550
"1970","50 Jahre","Mann",36380
"1971","50 Jahre","Mann",36393
"1972","50 Jahre","Mann",35663
"1973","50 Jahre","Mann",35837
"1974","50 Jahre","Mann",35353
"1975","50 Jahre","Mann",35475
"1976","50 Jahre","Mann",35570
"1977","50 Jahre","Mann",35452
"1978","50 Jahre","Mann",35617
"1979","50 Jahre","Mann",36316
"1980","50 Jahre","Mann",37530
"1981","50 Jahre","Mann",37240
"1982","50 Jahre","Mann",37922
"1983","50 Jahre","Mann",38089
"1984","50 Jahre","Mann",39027
"1985","50 Jahre","Mann",39492
"1986","50 Jahre","Mann",39382
"1987","50 Jahre","Mann",38944
"1988","50 Jahre","Mann",39737
"1989","50 Jahre","Mann",40583
"1990","50 Jahre","Mann",41323
"1991","50 Jahre","Mann",43575
"1992","50 Jahre","Mann",46666
"1993","50 Jahre","Mann",48050
"1994","50 Jahre","Mann",49295
"1995","50 Jahre","Mann",50007
"1996","50 Jahre","Mann",50842
"1997","50 Jahre","Mann",50373
"1998","50 Jahre","Mann",50423
"1999","50 Jahre","Mann",49542
"2000","50 Jahre","Mann",50043
"2001","50 Jahre","Mann",48180
"2002","50 Jahre","Mann",49692
"2003","50 Jahre","Mann",49442
"2004","50 Jahre","Mann",50932
"2005","50 Jahre","Mann",52500
"2006","50 Jahre","Mann",54658
"2007","50 Jahre","Mann",55515
"2008","50 Jahre","Mann",56984
"2009","50 Jahre","Mann",58720
"2010","50 Jahre","Mann",60644
"2011","50 Jahre","Mann",62209
"2012","50 Jahre","Mann",64694
"2013","50 Jahre","Mann",67418
"2014","50 Jahre","Mann",69822
"2015","50 Jahre","Mann",68987
"2016","50 Jahre","Mann",68562
"2017","50 Jahre","Mann",66961
"2018","50 Jahre","Mann",66213
"2019","50 Jahre","Mann",64904
"2020","50 Jahre","Mann",63606
"2021","50 Jahre","Mann",62824
"2022","50 Jahre","Mann",61807
"1860","51 Jahre","Mann",12349
"1861","51 Jahre","Mann",12294
"1862","51 Jahre","Mann",12266
"1863","51 Jahre","Mann",12266
"1864","51 Jahre","Mann",12298
"1865","51 Jahre","Mann",12313
"1866","51 Jahre","Mann",12342
"1867","51 Jahre","Mann",12388
"1868","51 Jahre","Mann",12451
"1869","51 Jahre","Mann",12532
"1870","51 Jahre","Mann",12726
"1871","51 Jahre","Mann",12844
"1872","51 Jahre","Mann",12994
"1873","51 Jahre","Mann",13180
"1874","51 Jahre","Mann",13407
"1875","51 Jahre","Mann",13460
"1876","51 Jahre","Mann",13531
"1877","51 Jahre","Mann",13622
"1878","51 Jahre","Mann",13734
"1879","51 Jahre","Mann",13870
"1880","51 Jahre","Mann",13855
"1881","51 Jahre","Mann",13799
"1882","51 Jahre","Mann",13717
"1883","51 Jahre","Mann",13686
"1884","51 Jahre","Mann",13666
"1885","51 Jahre","Mann",13715
"1886","51 Jahre","Mann",13834
"1887","51 Jahre","Mann",13949
"1888","51 Jahre","Mann",13968
"1889","51 Jahre","Mann",14114
"1890","51 Jahre","Mann",14244
"1891","51 Jahre","Mann",14446
"1892","51 Jahre","Mann",14546
"1893","51 Jahre","Mann",14553
"1894","51 Jahre","Mann",14640
"1895","51 Jahre","Mann",14457
"1896","51 Jahre","Mann",14357
"1897","51 Jahre","Mann",14281
"1898","51 Jahre","Mann",14179
"1899","51 Jahre","Mann",14096
"1900","51 Jahre","Mann",14064
"1901","51 Jahre","Mann",14048
"1902","51 Jahre","Mann",14022
"1903","51 Jahre","Mann",14075
"1904","51 Jahre","Mann",14148
"1905","51 Jahre","Mann",14542
"1906","51 Jahre","Mann",14921
"1907","51 Jahre","Mann",15364
"1908","51 Jahre","Mann",15778
"1909","51 Jahre","Mann",16345
"1910","51 Jahre","Mann",16675
"1911","51 Jahre","Mann",16994
"1912","51 Jahre","Mann",17348
"1913","51 Jahre","Mann",17725
"1914","51 Jahre","Mann",18125
"1915","51 Jahre","Mann",18355
"1916","51 Jahre","Mann",18426
"1917","51 Jahre","Mann",18581
"1918","51 Jahre","Mann",18757
"1919","51 Jahre","Mann",18975
"1920","51 Jahre","Mann",19249
"1921","51 Jahre","Mann",19649
"1922","51 Jahre","Mann",20680
"1923","51 Jahre","Mann",21105
"1924","51 Jahre","Mann",20776
"1925","51 Jahre","Mann",20988
"1926","51 Jahre","Mann",21656
"1927","51 Jahre","Mann",24106
"1928","51 Jahre","Mann",23337
"1929","51 Jahre","Mann",22418
"1930","51 Jahre","Mann",21691
"1931","51 Jahre","Mann",20931
"1932","51 Jahre","Mann",23505
"1933","51 Jahre","Mann",22598
"1934","51 Jahre","Mann",22418
"1935","51 Jahre","Mann",22123
"1936","51 Jahre","Mann",21732
"1937","51 Jahre","Mann",21966
"1938","51 Jahre","Mann",23209
"1939","51 Jahre","Mann",22991
"1940","51 Jahre","Mann",22701
"1941","51 Jahre","Mann",21708
"1942","51 Jahre","Mann",23090
"1943","51 Jahre","Mann",24286
"1944","51 Jahre","Mann",24681
"1945","51 Jahre","Mann",24689
"1946","51 Jahre","Mann",25357
"1947","51 Jahre","Mann",26724
"1948","51 Jahre","Mann",27260
"1949","51 Jahre","Mann",27347
"1950","51 Jahre","Mann",29063
"1951","51 Jahre","Mann",29116
"1952","51 Jahre","Mann",30494
"1953","51 Jahre","Mann",31309
"1954","51 Jahre","Mann",30869
"1955","51 Jahre","Mann",31680
"1956","51 Jahre","Mann",32213
"1957","51 Jahre","Mann",32891
"1958","51 Jahre","Mann",33053
"1959","51 Jahre","Mann",34019
"1960","51 Jahre","Mann",33745
"1961","51 Jahre","Mann",34310
"1962","51 Jahre","Mann",32646
"1963","51 Jahre","Mann",34032
"1964","51 Jahre","Mann",33541
"1965","51 Jahre","Mann",33530
"1966","51 Jahre","Mann",30309
"1967","51 Jahre","Mann",29891
"1968","51 Jahre","Mann",28775
"1969","51 Jahre","Mann",29578
"1970","51 Jahre","Mann",30496
"1971","51 Jahre","Mann",36039
"1972","51 Jahre","Mann",36135
"1973","51 Jahre","Mann",35308
"1974","51 Jahre","Mann",35552
"1975","51 Jahre","Mann",34924
"1976","51 Jahre","Mann",35076
"1977","51 Jahre","Mann",35149
"1978","51 Jahre","Mann",35115
"1979","51 Jahre","Mann",35309
"1980","51 Jahre","Mann",36091
"1981","51 Jahre","Mann",37325
"1982","51 Jahre","Mann",36981
"1983","51 Jahre","Mann",37666
"1984","51 Jahre","Mann",37824
"1985","51 Jahre","Mann",38756
"1986","51 Jahre","Mann",39192
"1987","51 Jahre","Mann",39069
"1988","51 Jahre","Mann",38721
"1989","51 Jahre","Mann",39479
"1990","51 Jahre","Mann",40381
"1991","51 Jahre","Mann",40965
"1992","51 Jahre","Mann",43176
"1993","51 Jahre","Mann",46361
"1994","51 Jahre","Mann",47658
"1995","51 Jahre","Mann",48946
"1996","51 Jahre","Mann",49535
"1997","51 Jahre","Mann",50396
"1998","51 Jahre","Mann",50024
"1999","51 Jahre","Mann",50204
"2000","51 Jahre","Mann",49239
"2001","51 Jahre","Mann",49768
"2002","51 Jahre","Mann",48009
"2003","51 Jahre","Mann",49484
"2004","51 Jahre","Mann",49243
"2005","51 Jahre","Mann",50727
"2006","51 Jahre","Mann",52310
"2007","51 Jahre","Mann",54654
"2008","51 Jahre","Mann",55815
"2009","51 Jahre","Mann",57022
"2010","51 Jahre","Mann",58787
"2011","51 Jahre","Mann",60678
"2012","51 Jahre","Mann",62236
"2013","51 Jahre","Mann",64866
"2014","51 Jahre","Mann",67550
"2015","51 Jahre","Mann",69838
"2016","51 Jahre","Mann",68929
"2017","51 Jahre","Mann",68392
"2018","51 Jahre","Mann",66878
"2019","51 Jahre","Mann",66106
"2020","51 Jahre","Mann",64931
"2021","51 Jahre","Mann",63509
"2022","51 Jahre","Mann",62906
"1860","52 Jahre","Mann",12108
"1861","52 Jahre","Mann",12039
"1862","52 Jahre","Mann",11995
"1863","52 Jahre","Mann",11977
"1864","52 Jahre","Mann",11989
"1865","52 Jahre","Mann",12033
"1866","52 Jahre","Mann",12052
"1867","52 Jahre","Mann",12085
"1868","52 Jahre","Mann",12135
"1869","52 Jahre","Mann",12203
"1870","52 Jahre","Mann",12289
"1871","52 Jahre","Mann",12385
"1872","52 Jahre","Mann",12510
"1873","52 Jahre","Mann",12667
"1874","52 Jahre","Mann",12862
"1875","52 Jahre","Mann",13100
"1876","52 Jahre","Mann",13157
"1877","52 Jahre","Mann",13232
"1878","52 Jahre","Mann",13328
"1879","52 Jahre","Mann",13445
"1880","52 Jahre","Mann",13586
"1881","52 Jahre","Mann",13470
"1882","52 Jahre","Mann",13432
"1883","52 Jahre","Mann",13375
"1884","52 Jahre","Mann",13348
"1885","52 Jahre","Mann",13328
"1886","52 Jahre","Mann",13382
"1887","52 Jahre","Mann",13459
"1888","52 Jahre","Mann",13565
"1889","52 Jahre","Mann",13700
"1890","52 Jahre","Mann",13786
"1891","52 Jahre","Mann",13952
"1892","52 Jahre","Mann",14154
"1893","52 Jahre","Mann",14251
"1894","52 Jahre","Mann",14248
"1895","52 Jahre","Mann",14365
"1896","52 Jahre","Mann",14188
"1897","52 Jahre","Mann",14136
"1898","52 Jahre","Mann",14005
"1899","52 Jahre","Mann",13919
"1900","52 Jahre","Mann",13814
"1901","52 Jahre","Mann",13790
"1902","52 Jahre","Mann",13773
"1903","52 Jahre","Mann",13759
"1904","52 Jahre","Mann",13782
"1905","52 Jahre","Mann",13885
"1906","52 Jahre","Mann",14263
"1907","52 Jahre","Mann",14640
"1908","52 Jahre","Mann",15082
"1909","52 Jahre","Mann",15510
"1910","52 Jahre","Mann",16052
"1911","52 Jahre","Mann",16355
"1912","52 Jahre","Mann",16636
"1913","52 Jahre","Mann",16996
"1914","52 Jahre","Mann",17399
"1915","52 Jahre","Mann",17801
"1916","52 Jahre","Mann",17990
"1917","52 Jahre","Mann",18084
"1918","52 Jahre","Mann",18174
"1919","52 Jahre","Mann",18404
"1920","52 Jahre","Mann",18603
"1921","52 Jahre","Mann",18893
"1922","52 Jahre","Mann",19378
"1923","52 Jahre","Mann",20375
"1924","52 Jahre","Mann",20777
"1925","52 Jahre","Mann",20447
"1926","52 Jahre","Mann",20587
"1927","52 Jahre","Mann",21246
"1928","52 Jahre","Mann",23754
"1929","52 Jahre","Mann",22961
"1930","52 Jahre","Mann",22040
"1931","52 Jahre","Mann",21395
"1932","52 Jahre","Mann",20627
"1933","52 Jahre","Mann",22664
"1934","52 Jahre","Mann",22193
"1935","52 Jahre","Mann",22088
"1936","52 Jahre","Mann",21834
"1937","52 Jahre","Mann",21473
"1938","52 Jahre","Mann",21581
"1939","52 Jahre","Mann",22959
"1940","52 Jahre","Mann",22746
"1941","52 Jahre","Mann",22446
"1942","52 Jahre","Mann",21509
"1943","52 Jahre","Mann",23040
"1944","52 Jahre","Mann",23784
"1945","52 Jahre","Mann",24264
"1946","52 Jahre","Mann",24482
"1947","52 Jahre","Mann",25164
"1948","52 Jahre","Mann",26509
"1949","52 Jahre","Mann",27013
"1950","52 Jahre","Mann",27124
"1951","52 Jahre","Mann",28838
"1952","52 Jahre","Mann",28863
"1953","52 Jahre","Mann",30258
"1954","52 Jahre","Mann",31046
"1955","52 Jahre","Mann",30599
"1956","52 Jahre","Mann",31371
"1957","52 Jahre","Mann",31958
"1958","52 Jahre","Mann",32671
"1959","52 Jahre","Mann",32879
"1960","52 Jahre","Mann",33879
"1961","52 Jahre","Mann",33451
"1962","52 Jahre","Mann",34023
"1963","52 Jahre","Mann",32403
"1964","52 Jahre","Mann",33792
"1965","52 Jahre","Mann",33313
"1966","52 Jahre","Mann",33284
"1967","52 Jahre","Mann",30165
"1968","52 Jahre","Mann",29754
"1969","52 Jahre","Mann",28626
"1970","52 Jahre","Mann",29507
"1971","52 Jahre","Mann",30248
"1972","52 Jahre","Mann",35722
"1973","52 Jahre","Mann",35792
"1974","52 Jahre","Mann",35051
"1975","52 Jahre","Mann",35128
"1976","52 Jahre","Mann",34392
"1977","52 Jahre","Mann",34666
"1978","52 Jahre","Mann",34816
"1979","52 Jahre","Mann",34818
"1980","52 Jahre","Mann",35059
"1981","52 Jahre","Mann",35848
"1982","52 Jahre","Mann",37065
"1983","52 Jahre","Mann",36633
"1984","52 Jahre","Mann",37345
"1985","52 Jahre","Mann",37475
"1986","52 Jahre","Mann",38476
"1987","52 Jahre","Mann",38901
"1988","52 Jahre","Mann",38797
"1989","52 Jahre","Mann",38419
"1990","52 Jahre","Mann",39241
"1991","52 Jahre","Mann",39947
"1992","52 Jahre","Mann",40490
"1993","52 Jahre","Mann",42854
"1994","52 Jahre","Mann",46026
"1995","52 Jahre","Mann",47271
"1996","52 Jahre","Mann",48457
"1997","52 Jahre","Mann",49077
"1998","52 Jahre","Mann",50120
"1999","52 Jahre","Mann",49672
"2000","52 Jahre","Mann",49849
"2001","52 Jahre","Mann",49121
"2002","52 Jahre","Mann",49689
"2003","52 Jahre","Mann",47763
"2004","52 Jahre","Mann",49280
"2005","52 Jahre","Mann",49055
"2006","52 Jahre","Mann",50529
"2007","52 Jahre","Mann",52229
"2008","52 Jahre","Mann",54784
"2009","52 Jahre","Mann",55754
"2010","52 Jahre","Mann",57107
"2011","52 Jahre","Mann",58833
"2012","52 Jahre","Mann",60671
"2013","52 Jahre","Mann",62388
"2014","52 Jahre","Mann",64959
"2015","52 Jahre","Mann",67476
"2016","52 Jahre","Mann",69756
"2017","52 Jahre","Mann",68652
"2018","52 Jahre","Mann",68161
"2019","52 Jahre","Mann",66713
"2020","52 Jahre","Mann",66008
"2021","52 Jahre","Mann",64828
"2022","52 Jahre","Mann",63504
"1860","53 Jahre","Mann",11772
"1861","53 Jahre","Mann",11790
"1862","53 Jahre","Mann",11730
"1863","53 Jahre","Mann",11695
"1864","53 Jahre","Mann",11688
"1865","53 Jahre","Mann",11711
"1866","53 Jahre","Mann",11768
"1867","53 Jahre","Mann",11790
"1868","53 Jahre","Mann",11828
"1869","53 Jahre","Mann",11883
"1870","53 Jahre","Mann",11955
"1871","53 Jahre","Mann",11943
"1872","53 Jahre","Mann",12045
"1873","53 Jahre","Mann",12176
"1874","53 Jahre","Mann",12341
"1875","53 Jahre","Mann",12545
"1876","53 Jahre","Mann",12794
"1877","53 Jahre","Mann",12854
"1878","53 Jahre","Mann",12934
"1879","53 Jahre","Mann",13034
"1880","53 Jahre","Mann",13156
"1881","53 Jahre","Mann",13211
"1882","53 Jahre","Mann",13091
"1883","53 Jahre","Mann",13070
